Music;Quadrant;Id;Semantic_Gazeteers_AvgValence;Semantic_Gazeteers_AvgArousal;Semantic_DAL_ANEW_AvgValence;Semantic_DAL_ANEW_AvgArousal;Semantic_DAL_ANEW_AvgDominance;Semantic_Synesktech_Valence;Semantic_Synesktech_HappinessWeight;Semantic_Synesktech_SadnessWeight;Semantic_Synesktech_AngerWeight;Semantic_Synesktech_FearWeight;Semantic_Synesktech_DisgustWeight;Semantic_Synesktech_SurpriseWeight;Semantic_GI_positiv;Semantic_GI_negativ;Semantic_GI_pstv;Semantic_GI_affil;Semantic_GI_ngtv;Semantic_GI_hostile;Semantic_GI_strong;Semantic_GI_power;Semantic_GI_weak;Semantic_GI_submit;Semantic_GI_active;Semantic_GI_passive;Semantic_GI_pleasur;Semantic_GI_pain;Semantic_GI_arousal;Semantic_GI_emot;Semantic_GI_virtue;Semantic_GI_vice;Semantic_GI_ovrst;Semantic_GI_undrst;Semantic_GI_academ;Semantic_GI_doctrin;Semantic_GI_econ@;Semantic_GI_exch;Semantic_GI_econ;Semantic_GI_exprsv;Semantic_GI_legal;Semantic_GI_milit;Semantic_GI_polit@;Semantic_GI_polit;Semantic_GI_relig;Semantic_GI_role;Semantic_GI_coll;Semantic_GI_work;Semantic_GI_ritual;Semantic_GI_socrel;Semantic_GI_male;Semantic_GI_female;Semantic_GI_nonadlt;Semantic_GI_hu;Semantic_GI_place;Semantic_GI_social;Semantic_GI_region;Semantic_GI_route;Semantic_GI_land;Semantic_GI_sky;Semantic_GI_object;Semantic_GI_tool;Semantic_GI_food;Semantic_GI_comnobj;Semantic_GI_natobj;Semantic_GI_bodypt;Semantic_GI_comform;Semantic_GI_com;Semantic_GI_say;Semantic_GI_need;Semantic_GI_goal;Semantic_GI_try;Semantic_GI_means;Semantic_GI_persist;Semantic_GI_complet;Semantic_GI_fail;Semantic_GI_natrpro;Semantic_GI_begin;Semantic_GI_vary;Semantic_GI_increas;Semantic_GI_finish;Semantic_GI_stay;Semantic_GI_rise;Semantic_GI_exert;Semantic_GI_fetch;Semantic_GI_travel;Semantic_GI_fall;Semantic_GI_know;Semantic_GI_causal;Semantic_GI_ought;Semantic_GI_perceiv;Semantic_GI_compare;Semantic_GI_eval;Semantic_GI_solve;Semantic_GI_abs@;Semantic_GI_abs;Semantic_GI_quality;Semantic_GI_quan;Semantic_GI_numb;Semantic_GI_card;Semantic_GI_freq;Semantic_GI_time@;Semantic_GI_time;Semantic_GI_space;Semantic_GI_pos;Semantic_GI_dim;Semantic_GI_rel;Semantic_GI_self;Semantic_GI_our;Semantic_GI_you;Semantic_GI_name;Semantic_GI_yes;Semantic_GI_no;Semantic_GI_negate;Semantic_GI_intrj;Semantic_GI_iav;Semantic_GI_dav;Semantic_GI_sv;Semantic_GI_indadj;Semantic_GI_powgain;Semantic_GI_powloss;Semantic_GI_powcon;Semantic_GI_powcoop;Semantic_GI_powaupt;Semantic_GI_powoth;Semantic_GI_powtot;Semantic_GI_rcethic;Semantic_GI_rcrelig;Semantic_GI_rcgain;Semantic_GI_rcends;Semantic_GI_rctot;Semantic_GI_rspgain;Semantic_GI_rsploss;Semantic_GI_rspoth;Semantic_GI_rsptot;Semantic_GI_affgain;Semantic_GI_affpt;Semantic_GI_affoth;Semantic_GI_afftot;Semantic_GI_wltoth;Semantic_GI_wlttot;Semantic_GI_wlbgain;Semantic_GI_wlbloss;Semantic_GI_wlbphys;Semantic_GI_wlbpsyc;Semantic_GI_wlbpt;Semantic_GI_wlbtot;Semantic_GI_enlgain;Semantic_GI_enlends;Semantic_GI_enloth;Semantic_GI_enltot;Semantic_GI_skloth;Semantic_GI_skltot;Semantic_GI_trngain;Semantic_GI_trnloss;Semantic_GI_tranlw;Semantic_GI_meanslw;Semantic_GI_endslw;Semantic_GI_arenalw;Semantic_GI_ptlw;Semantic_GI_negaff;Semantic_GI_posaff;Semantic_GI_surelw;Semantic_GI_if;Semantic_GI_notlw;Semantic_GI_timespc;Semantic_GI_formlw;Stylistic_WordsDictionary_Count;Stylistic_CapitalLetters_cfcl
mt0001722508;Q4;mt0001722508;2.634285714285714;1.532857142857143;1.9670096969696973;1.6260775757575756;1.5866666666666664;1;1.0;1.0;0.1142857142857142;0.2571428571428571;0.1142857142857142;0.0615384615384615;67;27;67;31;27;2;35;10;26;2;31;65;3;3;9;9;25;11;28;18;0;0;1;0;2;2;2;0;1;4;7;3;1;1;1;22;1;1;0;4;13;6;0;4;2;1;13;6;4;3;0;0;18;5;4;0;1;1;14;4;0;6;11;0;0;0;4;2;4;0;6;7;0;21;9;0;6;0;15;15;2;7;1;29;4;4;5;15;5;21;0;2;13;27;1;12;1;2;0;5;19;47;21;30;1;4;4;1;12;0;9;30;3;0;0;7;10;0;0;5;5;8;0;3;11;1;1;1;2;11;1;0;15;6;0;31;37;1;1;0;10;9;0;1;0;1;1;11;13;6;5;23;3;61;43
mt0001753032;Q3;mt0001753032;2.275;2.165;1.8337666666666668;1.6995154471544711;1.593495934959349;1;1.0;0.18;0.1;0.0588235294117647;0.0555555555555555;0.09;27;21;26;16;21;7;41;17;9;2;55;29;4;3;1;4;12;7;19;7;0;0;2;0;3;0;2;0;0;1;0;1;0;8;2;31;0;0;0;1;8;1;0;6;1;0;8;8;0;0;0;0;7;1;1;0;2;1;20;3;6;1;6;2;10;0;1;0;1;2;8;10;2;12;0;0;0;0;5;10;2;2;5;5;4;1;1;20;0;31;2;0;7;7;1;19;0;0;0;4;11;59;13;32;0;6;1;0;1;0;1;9;2;0;0;0;2;0;6;7;13;5;0;4;9;2;2;0;4;0;3;0;7;2;4;17;23;0;0;0;3;5;2;7;1;0;2;2;10;2;4;28;1;60;26
mt0001779167;Q2;mt0001779167;2.333333333333333;2.1833333333333336;1.9956270491803283;1.7487549180327862;1.467213114754098;1;1.0;1.0;0.225;0.6666666666666666;0.3333333333333333;0.045;33;15;33;21;13;15;38;14;14;0;36;28;7;2;4;10;19;2;7;7;0;3;5;1;4;2;11;0;2;2;2;5;0;10;1;22;2;0;0;5;0;0;0;0;0;0;5;5;0;0;0;0;4;1;0;9;2;4;9;0;6;1;12;0;0;0;6;2;0;2;3;2;0;11;9;2;2;1;4;7;9;10;2;7;0;0;3;12;1;7;0;3;1;23;0;10;0;7;1;10;8;40;11;20;0;0;3;0;0;0;19;22;13;1;0;0;14;4;0;0;4;8;2;5;15;3;4;0;0;17;1;0;18;2;0;14;16;0;0;0;2;6;0;8;0;2;0;7;0;2;11;14;3;61;17
mt0001802833;Q1;mt0001802833;2.881111111111111;2.52;2.135297560975609;1.9670195121951224;1.5951219512195125;1;1.0;1.0;0.1542857142857142;0.0685714285714285;0.1066666666666666;0.0738461538461538;77;4;70;96;4;8;46;5;8;5;36;57;34;1;13;38;23;4;30;7;0;0;8;0;1;2;3;0;0;0;8;20;1;10;0;39;0;0;6;21;2;2;0;0;0;0;1;0;0;0;1;3;7;6;0;0;1;2;1;2;2;1;0;0;4;0;0;1;1;1;0;6;0;3;4;0;1;0;6;9;0;1;1;17;4;4;1;7;0;9;3;0;7;25;0;24;0;4;3;13;6;41;14;46;0;3;3;1;1;0;1;10;2;0;0;1;3;0;0;2;2;50;0;30;81;1;1;0;0;0;2;13;15;0;0;1;1;0;0;1;0;3;1;11;0;1;0;7;16;2;16;14;6;97;46
mt0001832838;Q4;mt0001832838;2.020909090909091;1.9972727272727269;1.9392007352941167;1.6414382352941184;1.5132352941176468;-1;1.0;1.0;0.5;0.5;0.5;0.0615384615384615;19;15;18;26;15;7;29;11;13;0;44;18;5;8;6;4;8;5;18;12;0;0;3;0;3;2;6;0;0;1;1;8;2;7;1;22;0;6;1;10;0;0;0;0;0;0;7;2;1;4;0;0;6;4;0;8;0;5;0;1;4;2;0;4;4;0;6;1;1;1;7;4;0;1;8;2;2;0;4;7;2;2;0;16;0;0;0;8;0;11;0;0;5;11;0;49;0;1;1;1;2;62;19;39;0;0;1;1;0;0;11;15;4;1;0;0;5;0;1;1;2;4;6;3;13;2;2;6;0;2;9;3;20;1;1;2;4;0;0;4;0;1;1;6;0;0;2;0;18;0;1;11;7;61;25
mt0001839466;Q3;mt0001839466;2.3514285714285714;2.074285714285714;1.933945;1.6730850000000004;1.4533333333333338;-1;0.8;1.0;0.9;0.9;0.7;0.0615384615384615;11;12;11;12;12;3;17;6;8;0;24;17;0;3;3;1;4;3;7;13;0;0;0;0;0;0;3;2;1;1;0;2;0;1;0;10;0;10;2;2;0;0;0;0;0;0;5;2;0;3;0;0;1;0;0;9;1;1;3;1;1;0;0;3;1;0;0;0;0;0;2;0;0;6;4;0;1;0;0;4;3;3;1;3;0;0;8;2;0;3;0;3;1;9;0;0;0;0;0;8;2;22;4;20;0;0;0;2;4;0;8;15;2;0;0;0;2;0;0;0;0;2;0;2;4;0;0;0;2;0;1;0;3;0;0;7;7;0;0;0;0;1;0;7;0;4;1;0;4;1;8;2;1;13;19
mt0001863823;Q4;mt0001863823;2.692;2.1580000000000004;1.9032361445783128;1.668886746987952;1.4674698795180725;-1;1.0;0.2666666666666666;0.1428571428571428;0.2666666666666666;0.2666666666666666;0.15;33;4;33;23;4;0;26;15;9;12;54;38;6;0;3;9;19;1;32;8;1;1;0;0;1;1;4;0;0;0;0;0;0;1;0;31;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;10;10;0;4;0;10;5;2;0;1;0;0;2;0;2;0;1;0;0;2;0;6;3;2;38;1;10;30;1;1;7;19;1;1;1;14;0;9;0;0;1;2;7;6;0;0;0;0;2;90;14;21;0;2;1;0;2;0;0;5;4;0;0;2;6;0;0;0;0;8;0;6;14;0;0;0;0;1;0;0;1;3;0;4;7;2;2;0;0;3;0;3;0;1;0;2;23;6;0;17;0;42;22
mt0001866808;Q3;mt0001866808;2.515;2.0875;1.9596447368421064;1.6586684210526323;1.6175438596491225;-1;1.0;1.0;0.5;0.5;0.5;0.0615384615384615;15;4;14;11;4;2;18;5;4;1;22;18;3;2;7;5;3;1;12;3;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;6;0;0;0;0;5;0;0;1;1;3;1;0;0;1;0;3;5;3;2;2;5;1;3;3;0;0;1;1;2;1;1;0;0;0;0;4;1;5;8;0;5;0;4;7;0;2;0;6;0;0;2;3;2;21;0;0;2;10;0;23;0;0;0;0;2;22;8;19;1;0;0;2;1;0;5;8;2;0;0;0;2;0;0;0;0;7;0;3;10;0;0;0;0;3;1;0;4;5;2;9;16;0;2;0;0;3;0;1;0;0;0;3;1;5;0;19;5;56;22
mt0001879903;Q3;mt0001879903;2.3563636363636364;2.3109090909090906;1.9072511450381693;1.7599870229007637;1.932824427480914;1;1.0;1.0;1.0;0.5;0.5;0.2;28;25;28;15;25;22;23;10;12;3;71;14;2;1;2;1;4;6;16;4;0;0;0;0;0;0;1;3;0;0;0;0;0;6;5;22;0;0;0;0;4;1;0;0;1;2;1;1;0;0;0;0;13;1;0;2;0;5;1;1;4;0;5;1;14;0;0;0;2;6;2;8;5;3;1;0;0;0;4;2;0;1;13;17;6;6;0;4;1;56;0;0;0;10;0;17;0;0;0;0;0;49;28;5;0;0;0;9;1;0;4;16;0;0;0;0;0;0;1;2;3;9;0;1;15;0;0;0;0;0;1;0;1;8;0;0;8;1;1;5;6;7;0;6;0;0;0;11;9;4;0;45;5;62;3
mt0001891260;Q3;mt0001891260;1.993;2.178;1.887071653543307;1.77941968503937;1.7574803149606295;-1;1.0;1.0;0.9;0.9;1.0;0.0;35;16;35;38;16;6;30;3;6;4;30;39;9;3;12;15;4;10;13;9;0;0;1;0;2;0;0;0;0;2;0;1;0;0;1;16;0;0;0;1;7;0;0;1;0;1;1;1;0;0;0;3;11;4;0;1;1;0;3;2;1;1;3;1;2;0;2;3;1;2;0;6;0;2;9;0;3;0;0;3;3;13;6;7;0;0;15;26;10;15;0;0;7;10;0;4;2;0;1;6;2;26;12;18;0;5;2;0;1;0;1;9;1;0;2;0;3;0;0;3;3;18;0;6;24;2;2;0;6;1;4;0;11;2;1;5;8;2;2;0;0;5;1;0;0;3;4;7;4;1;7;35;7;64;33
mt0001921677;Q3;mt0001921677;2.9200000000000004;2.5563157894736843;2.0626836363636363;1.7647151515151516;1.5090909090909097;1;1.0;0.3333333333333333;0.1;0.1285714285714285;0.1285714285714285;0.0;84;5;84;113;5;4;29;2;3;0;21;75;51;0;4;54;8;3;11;11;0;0;2;0;2;0;0;1;0;1;0;0;1;0;1;52;0;0;0;1;4;1;1;0;0;2;4;3;0;0;1;1;5;2;0;2;0;0;5;2;3;0;10;1;0;1;0;0;1;1;0;1;1;0;4;0;1;1;3;2;0;1;0;10;1;1;3;13;1;11;0;3;3;4;5;7;0;2;0;0;3;34;3;21;0;0;0;0;0;1;0;1;0;2;0;0;2;1;1;2;4;70;0;35;105;2;2;1;0;12;0;0;13;1;1;1;3;1;1;0;1;2;0;2;0;0;0;5;5;1;0;6;3;64;39
mt0001927015;Q1;mt0001927015;2.55;2.77;1.7789989898989902;1.77049696969697;1.585858585858586;-1;0.2571428571428571;0.1428571428571428;1.0;0.1428571428571428;0.1428571428571428;0.0;13;15;13;6;15;16;36;4;4;1;40;8;0;0;4;3;5;8;8;4;0;0;4;0;15;2;2;0;1;11;0;5;0;9;2;4;9;1;0;5;1;0;0;0;1;0;7;6;0;0;1;2;15;11;0;0;1;1;0;0;5;2;3;3;9;0;0;0;7;13;0;10;3;7;3;0;4;0;5;3;2;19;0;11;0;0;1;25;17;10;0;0;1;1;0;4;10;0;3;13;5;51;13;8;0;2;1;0;0;0;1;5;4;0;0;0;4;0;0;0;0;1;2;0;3;1;1;0;0;4;0;0;4;8;1;4;13;3;4;0;0;2;0;0;0;0;3;1;0;1;16;14;13;65;47
mt0001943830;Q4;mt0001943830;2.3518750000000006;2.4137500000000003;1.8693977777777773;1.830523333333334;1.5866666666666671;-1;1.0;1.0;0.0;0.16;0.9;0.0;8;7;7;4;7;0;21;14;1;1;17;5;0;1;2;1;5;5;4;7;0;0;0;0;0;1;2;0;8;8;0;1;0;9;0;8;11;0;0;1;4;1;0;1;1;1;7;5;0;2;0;1;1;0;0;0;8;0;3;1;2;1;3;0;5;0;6;0;2;2;0;5;0;2;2;0;1;0;3;0;8;10;7;3;0;0;0;9;1;5;0;0;1;5;0;0;0;3;0;0;4;29;12;0;0;3;1;9;0;0;5;18;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;4;10;0;0;0;1;0;4;5;1;0;7;0;29;17
mt0001967655;Q4;mt0001967655;2.252;2.0340000000000003;1.8009528169014093;1.7644246478873251;1.7859154929577452;-1;1.0;1.0;1.0;1.0;1.0;0.1125;25;30;23;25;28;20;17;3;44;15;37;31;1;0;21;4;19;6;3;4;0;0;0;0;1;3;3;0;1;1;1;1;0;8;2;38;0;0;0;1;7;0;0;1;2;2;8;7;0;0;0;0;2;1;0;0;1;0;4;0;2;15;17;0;0;0;0;0;0;0;0;1;0;83;0;0;7;0;6;14;4;5;10;5;1;1;3;23;1;35;0;6;2;27;0;0;0;0;0;0;15;95;4;15;3;0;0;2;2;0;1;5;3;0;0;1;4;0;0;0;0;1;0;0;1;3;3;1;0;6;1;0;8;7;1;14;22;0;0;0;0;1;1;0;2;0;1;1;3;1;0;27;0;99;30
mt0001972829;Q3;mt0001972829;2.02;1.5012499999999998;1.853940287769784;1.6417028776978408;1.6848920863309351;1;1.0;0.2666666666666666;0.0727272727272727;0.0777777777777777;0.2333333333333333;0.0;17;28;24;9;27;19;26;10;7;5;41;35;0;3;14;6;11;0;11;16;0;0;5;0;2;2;8;0;0;0;0;0;1;9;0;19;0;0;0;1;3;1;0;0;2;0;20;8;4;0;6;0;15;6;1;3;0;9;12;0;0;1;10;0;4;0;4;11;0;1;0;0;0;1;1;0;0;3;4;1;4;7;5;18;0;0;3;5;3;18;0;0;17;29;0;11;0;8;0;3;4;66;22;9;1;0;0;1;0;0;7;8;10;0;5;1;16;1;0;0;1;5;0;1;6;5;6;0;1;12;0;0;13;3;0;9;12;0;0;0;5;32;2;3;0;0;4;4;11;0;3;16;8;65;21
mt0001992879;Q2;mt0001992879;1.9009090909090909;2.0836363636363635;1.7987175;1.7500558333333334;1.8066666666666653;-1;0.2666666666666666;1.0;0.7894736842105263;1.0;0.1;0.1125;10;18;8;10;18;20;30;10;4;0;50;8;0;0;2;0;6;2;15;14;1;0;1;0;0;0;2;0;2;3;2;3;2;5;0;21;0;0;0;5;3;0;1;0;1;1;5;3;0;1;1;7;1;1;0;0;1;8;5;0;3;2;10;1;0;1;4;1;1;3;3;19;0;3;0;3;0;1;1;13;1;7;5;11;1;1;22;66;6;16;0;1;1;2;8;4;0;1;0;4;3;64;24;12;1;1;0;1;0;1;1;5;2;1;0;0;3;1;1;0;2;0;0;0;0;1;1;0;4;7;0;0;11;0;0;0;0;1;1;0;5;7;0;3;0;0;0;2;4;2;4;32;0;65;26
mt0002014752;Q4;mt0002014752;2.8866666666666667;2.736666666666667;1.9327354430379744;1.734644303797469;1.6278481012658224;1;1.0;1.0;0.5;0.5;0.5;0.0714285714285714;14;4;16;23;4;3;30;9;4;1;42;16;6;0;3;9;4;4;18;6;0;0;0;0;0;8;1;0;1;2;0;0;1;2;0;17;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;17;9;4;6;0;2;4;0;0;0;1;2;2;0;0;0;1;3;4;9;0;4;0;1;5;0;3;2;1;1;1;11;0;0;2;12;0;16;0;6;2;10;2;10;0;2;0;0;6;40;12;15;0;1;0;2;0;0;1;5;1;0;1;1;3;0;0;1;1;10;0;4;14;0;0;0;0;0;0;0;0;8;0;10;18;1;1;0;0;1;0;4;0;0;0;1;10;4;0;18;10;42;21
mt0002024741;Q4;mt0002024741;2.768235294117648;2.3652941176470583;1.92594375;1.7000778409090906;1.6295454545454542;1;1.0;0.7;0.9;0.9;0.175;0.8;55;21;55;98;21;9;89;40;34;0;118;90;27;0;6;30;26;6;25;33;0;0;7;0;1;3;0;0;0;1;3;16;0;4;1;87;0;0;6;16;8;1;0;2;5;0;7;5;0;2;0;2;11;5;1;12;1;9;11;3;1;3;7;11;9;0;8;0;1;0;20;16;15;7;9;0;4;0;7;20;6;18;3;35;20;17;21;85;12;24;2;0;17;2;8;7;0;1;0;0;7;159;34;31;0;1;0;0;0;0;4;5;2;3;0;0;5;0;0;1;1;41;0;24;65;1;1;0;1;2;1;12;16;2;2;7;11;1;3;0;11;7;0;3;0;0;0;4;26;8;0;13;4;113;43
mt0002034238;Q1;mt0002034238;2.8400000000000003;2.51076923076923;1.8575075313807528;1.7688313807531388;1.5020920502092034;1;1.0;1.0;0.5;0.5;0.5;0.0615384615384615;63;14;62;74;11;17;62;4;7;8;72;45;27;0;3;27;16;0;32;15;0;0;4;2;8;1;10;0;3;9;0;3;3;11;0;50;5;2;3;6;0;0;0;0;0;0;3;1;1;1;0;5;18;13;5;4;3;7;6;7;3;2;8;0;18;0;4;0;2;2;0;23;4;18;11;2;4;6;6;12;10;19;8;39;1;1;5;39;9;14;0;0;1;17;0;8;6;2;6;24;15;106;31;46;4;0;0;0;6;0;3;12;20;0;0;0;20;0;0;0;0;48;0;18;66;0;0;0;0;3;0;0;3;13;0;19;32;0;1;0;4;7;0;12;2;0;0;0;16;6;30;30;17;96;59
mt0002060109;Q3;mt0002060109;2.248;2.2046666666666668;1.9189147727272733;1.7023772727272728;1.8681818181818184;1;1.0;0.8;0.4;0.4;1.0;0.0;10;42;10;10;42;19;3;0;4;0;10;29;3;2;2;4;2;14;5;2;0;7;2;0;2;0;0;0;7;7;0;0;0;0;0;3;0;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;9;3;0;0;2;0;0;0;0;2;13;0;2;0;0;0;0;0;2;5;0;4;0;0;0;0;7;0;0;4;28;5;0;0;0;10;4;9;0;0;1;4;0;0;0;0;2;8;2;10;7;16;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;0;0;5;0;2;7;2;2;0;11;2;2;0;15;0;0;0;0;0;0;0;2;0;0;7;2;0;2;1;1;6;10;12;9;28;24
mt0002067509;Q1;mt0002067509;2.705;2.25625;1.899027108433736;1.6745795180722904;1.7253012048192766;-1;1.0;1.0;0.5;0.8;0.8;0.0615384615384615;28;52;30;33;51;8;94;32;28;4;113;52;3;11;2;4;16;35;22;6;0;0;8;0;8;3;2;0;11;18;0;8;3;13;3;38;1;0;4;11;11;6;0;0;5;0;7;3;2;2;0;1;19;10;0;17;4;6;13;1;2;6;0;9;5;19;8;1;0;2;11;6;0;5;11;0;1;0;5;7;2;3;3;15;1;1;6;23;1;22;0;0;2;12;1;12;1;5;1;6;4;101;43;38;1;6;3;3;1;5;20;42;1;0;2;0;3;0;4;9;13;0;1;0;1;7;7;5;18;4;13;2;42;2;0;7;9;5;10;12;3;16;2;10;0;1;13;0;13;2;7;35;13;89;25
mt0002070314;Q1;mt0002070314;2.4022222222222216;2.2011111111111115;1.8570262068965528;1.6932062068965497;1.5733333333333333;-1;1.0;0.32;0.16;0.2571428571428571;0.24;0.18;51;40;55;39;34;60;86;25;23;8;121;43;8;4;16;7;34;15;61;70;1;0;21;0;12;2;15;3;8;18;0;13;2;13;4;61;1;66;4;15;11;2;6;0;0;3;31;8;6;9;2;8;50;43;12;7;6;17;18;1;13;5;4;2;3;0;5;3;1;0;10;14;1;29;20;9;24;3;9;30;14;19;14;87;4;4;9;44;4;62;5;7;3;52;0;23;0;8;17;66;25;167;51;34;2;0;2;5;1;2;17;32;15;0;2;3;20;1;3;5;9;7;5;2;14;9;9;2;0;5;3;2;12;25;0;28;53;1;2;10;2;10;3;9;0;2;6;7;30;22;82;70;43;264;125
mt0002164399;Q4;mt0002164399;2.364;2.211428571428572;1.8454882352941184;1.6855932773109243;1.494117647058823;-1;1.0;1.0;0.9;1.0;1.0;0.0615384615384615;16;20;18;6;20;8;30;7;12;1;25;31;0;3;7;6;10;23;37;12;0;1;3;2;1;3;7;0;3;3;1;4;0;9;3;5;7;17;0;4;2;1;0;1;0;0;3;1;0;2;0;0;18;8;3;2;0;0;7;0;0;0;1;0;0;0;1;0;0;0;0;1;0;11;3;0;1;1;2;5;1;2;2;33;0;0;0;16;1;12;0;3;4;7;0;3;0;3;3;12;10;19;14;28;0;1;0;0;0;0;3;4;7;1;1;0;9;0;0;4;4;1;0;0;1;1;3;1;6;10;3;0;20;4;0;19;23;4;4;0;1;7;0;4;0;4;5;1;9;8;15;20;9;52;28
mt0002177145;Q1;mt0002177145;1.91;2.4433333333333334;1.957977368421052;1.6629021052631574;1.6821052631578928;-1;0.8;0.2666666666666666;1.0;0.25;0.2666666666666666;0.0615384615384615;85;13;85;2;13;21;13;14;20;14;49;28;0;0;3;2;35;6;37;28;6;0;6;0;6;1;0;3;0;0;0;4;1;8;0;10;2;6;3;5;6;4;0;0;2;0;4;3;0;1;0;1;22;6;0;2;0;33;1;0;3;0;1;0;1;0;0;0;0;0;2;14;0;2;6;1;0;34;36;24;0;11;1;32;0;0;33;96;11;6;1;3;2;25;0;3;0;2;1;1;1;118;19;23;0;1;2;4;0;1;10;18;34;0;0;0;34;32;12;0;44;0;2;0;2;6;6;0;1;0;1;0;2;2;0;11;13;0;0;0;0;0;1;0;0;2;2;34;36;0;1;10;11;104;29
mt0002179342;Q1;mt0002179342;1.9807692307692308;2.4638461538461542;1.9058623376623376;1.8056974025974024;1.5792207792207795;-1;1.0;0.96;1.0;1.0;0.84;1.0;13;8;12;10;8;4;16;4;3;2;18;15;3;0;0;3;3;0;6;5;1;0;0;0;0;3;0;0;3;5;0;3;0;2;1;7;1;0;0;3;2;1;0;0;0;1;0;0;0;0;0;0;1;0;0;8;5;0;2;0;2;0;1;0;3;0;2;0;1;1;0;3;0;2;9;0;1;0;0;2;6;6;0;5;0;0;0;2;0;10;3;3;2;13;0;4;0;0;0;0;0;24;4;8;1;2;0;5;0;0;2;9;3;0;0;0;3;0;0;0;0;5;1;4;10;0;0;0;0;1;0;0;1;3;0;6;9;0;0;1;1;7;1;6;0;2;1;0;0;1;0;4;0;37;21
mt0002219182;Q1;mt0002219182;2.6181818181818186;1.4286363636363637;1.958356834532376;1.669684892086331;1.4964028776978409;-1;0.45;1.0;0.7;0.8;0.7;0.0615384615384615;59;4;59;5;3;6;20;1;20;1;10;7;2;2;4;3;60;1;18;34;0;0;12;6;4;1;17;0;0;2;0;7;1;3;0;2;1;3;3;8;1;1;0;0;0;0;22;17;1;2;1;0;5;7;1;4;0;0;3;0;3;1;0;0;6;0;4;0;20;3;1;7;0;10;26;0;1;1;6;17;4;8;1;41;0;0;12;61;4;11;0;6;0;9;1;32;0;0;1;5;18;54;10;18;0;0;1;0;0;0;1;3;19;0;0;0;19;1;0;0;1;0;1;2;3;4;8;0;0;17;2;5;24;5;0;14;19;0;0;2;3;17;0;4;0;4;1;17;10;18;5;32;4;69;38
mt0002225477;Q2;mt0002225477;1.5456521739130438;2.1356521739130434;1.862395772058821;1.6687994485294118;1.6113970588235331;-1;0.6666666666666666;1.0;1.0;1.0;1.0;0.3;89;73;86;36;68;56;190;69;51;14;184;62;1;5;19;11;63;18;61;68;6;0;7;0;5;5;5;3;5;10;6;17;4;29;6;76;7;0;0;21;7;4;1;1;1;0;18;7;4;3;2;7;34;23;2;3;16;24;15;5;23;6;22;6;9;5;6;4;1;22;12;31;2;23;18;9;15;4;14;25;22;37;68;61;4;3;7;58;13;54;3;10;30;34;30;22;2;1;6;34;8;257;60;24;3;9;6;2;4;3;76;103;6;2;2;5;15;2;0;1;3;7;5;3;15;3;3;0;24;31;3;0;58;7;2;35;44;7;7;2;8;22;5;8;2;1;7;9;26;23;38;74;17;288;111
mt0002238737;Q4;mt0002238737;2.385;1.7275;1.8589316666666664;1.7410250000000005;1.6533333333333338;-1;0.2666666666666666;0.1666666666666666;0.1142857142857142;0.25;0.1;0.2666666666666666;8;8;10;4;8;4;18;7;1;0;19;6;0;4;0;1;4;5;11;3;0;0;2;0;2;3;5;0;1;3;0;2;2;4;3;6;0;0;0;4;7;2;0;0;0;0;6;4;1;1;0;1;4;5;0;0;0;0;5;1;3;1;2;2;0;0;0;0;0;0;0;2;2;2;0;0;1;0;3;1;1;1;2;9;0;0;2;12;0;13;0;0;0;1;0;0;1;2;1;6;2;16;3;4;0;2;2;0;0;1;0;8;3;0;1;0;4;0;0;1;1;0;0;1;1;0;0;0;0;0;2;1;3;0;2;0;2;0;1;0;1;4;1;0;0;0;3;0;5;1;7;23;4;30;18
mt0002239079;Q2;mt0002239079;1.5712000000000006;2.2592;1.8277788519637448;1.6888477341389712;1.6308157099697882;-1;1.0;1.0;1.0;0.6666666666666666;1.0;0.2666666666666666;65;72;65;38;70;59;126;33;29;7;199;68;0;2;24;9;20;18;36;18;2;3;13;2;11;2;9;0;1;6;2;6;3;27;5;73;1;1;1;10;13;8;0;1;3;1;27;15;1;3;4;4;24;14;0;4;4;17;20;2;18;9;12;4;7;4;8;8;2;14;9;34;5;40;13;8;21;3;12;37;8;16;22;27;4;3;9;47;9;38;2;0;9;24;8;53;4;5;3;8;25;223;67;35;1;4;6;8;1;1;10;31;13;1;2;1;17;2;3;4;9;7;0;5;13;8;8;1;4;7;2;2;16;11;4;54;69;2;3;5;13;33;3;3;1;1;8;8;23;4;9;37;12;242;110
